KaryawanID,NIK,NamaKaryawan,JenisKelamin,Jabatan,Departemen,ApotekID,StatusKepegawaian
KRY001,KF202600001,Ilham Saputra,L,,Administrasi,APT053,Magang
KRY002,KF202600002,Fikri Utami,L,Asisten Apoteker,Farmasi,APT027,Kontrak
KRY003,KF202600003,Ilham Hidayat,L,Kasir,Operasional Apotek,APT069,Tetap
kry004,KF202600004,Hendra Fauzi,L,Admin Cabang,Administrasi,APT078,Tetap
kry005,KF202600005,Bayu Azzahra,L,Admin Cabang,Administrasi,APT028,Magang
KRY006,KF202600006,Doni Kusuma,L,Kasir,Operasional Apotek,APT028,Tetap
KRY007,KF202600007,Joko Utami,L,Admin Cabang,Administrasi,apt091,Tetap
KRY008,KF202600008,Fitri Mahendra,P,Asisten Apoteker,Farmasi,APT100,Kontrak
KRY009,KF202600009,Wulan Mahendra,P,Asisten Apoteker,Farmasi,APT040,Kontrak
KRY010,KF202600010,Dina Sari,P,Supervisor Cabang,Operasional Apotek,APT013,Magang
KRY011,KF202600011,Putri Hidayat,P,,Farmasi,APT053,Tetap
KRY012,KF202600012,Rizky Pratama,L,Asisten Apoteker,Farmasi,APT071,Magang
kry013,KF202600013,Maya Santoso,P,Asisten Apoteker,Farmasi,APT030,Magang
kry014,KF202600014,Joko Mahendra,L,Asisten Apoteker,Farmasi,APT033,Magang
KRY015,KF202600015,Wulan Ramadhan,P,,Farmasi,APT022,Tetap
KRY016,KF202600016,Nabila Mahendra,P,Kasir,Operasional Apotek,apt068,Tetap
kry017,KF202600017,Budi Pratama,L,Supervisor Cabang,Operasional Apotek,apt018,Tetap
kry018,KF202600018,Rizky Pratama,L,Apoteker,Farmasi,APT065,Magang
KRY019,KF202600019,Rani Pangestu,P,,Administrasi,APT062,Magang
KRY020,KF202600020,Andi Mahendra,L,Admin Cabang,Administrasi,APT053,Tetap
kry021,KF202600021,Kevin Maulana,L,Admin Cabang,Administrasi,APT037,Tetap
KRY022,KF202600022,Nabila Lestari,P,Kasir,Operasional Apotek,APT068,Tetap
KRY023,KF202600023,Bayu Pangestu,L,Admin Cabang,Administrasi,apt033,Kontrak
KRY024,KF202600024,Tiara Wijaya,P,Asisten Apoteker,Farmasi,apt052,Magang
kry025,KF202600025,Rangga Kusuma,L,Kasir,Operasional Apotek,APT084,Tetap
kry026,KF202600026,Fikri Fauzi,L,Supervisor Cabang,Operasional Apotek,APT071,Magang
KRY027,KF202600027,Andi Ramadhan,L,Kasir,Operasional Apotek,APT064,Magang
KRY028,KF202600028,Farah Lestari,P,,Administrasi,APT006,Tetap
KRY029,KF202600029,Miko Sari,L,Asisten Apoteker,Farmasi,APT006,Tetap
kry030,KF202600030,Elsa Azzahra,P,Kasir,Operasional Apotek,apt023,Kontrak
KRY031,KF202600031,Bayu Azzahra,L,,Farmasi,APT097,Magang
KRY032,KF202600032,Arif Ramadhan,L,Admin Cabang,Administrasi,apt031,Magang
KRY033,KF202600033,Tiara Permata,P,Kasir,Operasional Apotek,APT065,Kontrak
KRY034,KF202600034,Rafi Amelia,L,Apoteker,Farmasi,APT010,Kontrak
KRY035,KF202600035,Nadia Pratama,P,Asisten Apoteker,Farmasi,APT058,Magang
KRY036,KF202600036,Eko Mahendra,L,Supervisor Cabang,Operasional Apotek,APT056,Tetap
KRY037,KF202600037,Ayu Pangestu,P,Asisten Apoteker,Farmasi,APT032,Tetap
kry038,KF202600038,Hendra Permata,L,Supervisor Cabang,Operasional Apotek,APT092,Tetap
kry039,KF202600039,Nadia Hidayat,P,Kasir,Operasional Apotek,apt012,Tetap
KRY040,KF202600040,Wulan Hidayat,P,Asisten Apoteker,Farmasi,APT014,Tetap
KRY041,KF202600041,Fajar Amelia,L,Supervisor Cabang,Operasional Apotek,APT072,Magang
kry042,KF202600042,Andi Wijaya,L,Asisten Apoteker,Farmasi,APT071,Tetap
KRY043,KF202600043,Tiara Pratama,P,Asisten Apoteker,Farmasi,APT053,Magang
KRY044,KF202600044,Lutfi Utami,L,Admin Cabang,Administrasi,APT067,Tetap
KRY045,KF202600045,Nabila Permata,P,Asisten Apoteker,Farmasi,apt039,Kontrak
KRY046,KF202600046,Maya Wijaya,P,Apoteker,Farmasi,APT056,Kontrak
KRY047,KF202600047,Intan Sari,P,Kasir,Operasional Apotek,APT047,Kontrak
KRY048,KF202600048,Joko Pangestu,L,Admin Cabang,Administrasi,apt026,Magang
KRY049,KF202600049,Rizky Kusuma,L,Kasir,Operasional Apotek,APT051,Kontrak
KRY050,KF202600050,Nadia Nugraha,P,Asisten Apoteker,Farmasi,APT056,Tetap
KRY051,KF202600051,Nadia Pangestu,P,Apoteker,Farmasi,APT062,Kontrak
KRY052,KF202600052,Fikri Ananda,L,Asisten Apoteker,Farmasi,APT095,Magang
KRY053,KF202600053,Doni Fauzi,L,Asisten Apoteker,Farmasi,apt051,Kontrak
kry054,KF202600054,Miko Santoso,L,,Administrasi,apt070,Tetap
KRY055,KF202600055,Ilham Santoso,L,Supervisor Cabang,Operasional Apotek,APT038,Tetap
kry056,KF202600056,Citra Permata,P,Asisten Apoteker,Farmasi,apt031,Kontrak
kry057,KF202600057,Gilang Fauzi,L,Kasir,Operasional Apotek,apt058,Magang
KRY058,KF202600058,Elsa Oktavia,P,Supervisor Cabang,Operasional Apotek,APT070,Tetap
